"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20200101.csv"
"C","Report for: 01/01/2020 - 01/01/2020"
"C","Report generated: 08/02/2021 14:14:01 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","01/01/2020","01",11461.96
"D","01/01/2020","02",11024.78
"D","01/01/2020","03",10713.61
"D","01/01/2020","04",10829.52
"D","01/01/2020","05",10966.52
"D","01/01/2020","06",11282.4
"D","01/01/2020","07",11484.3
"D","01/01/2020","08",11820.76
"D","01/01/2020","09",12032.61
"D","01/01/2020","10",12139.25
"D","01/01/2020","11",12299.6
"D","01/01/2020","12",12533.14
"D","01/01/2020","13",12770.7
"D","01/01/2020","14",12888.43
"D","01/01/2020","15",13138.9
"D","01/01/2020","16",13666.53
"D","01/01/2020","17",14790.32
"D","01/01/2020","18",15792.85
"D","01/01/2020","19",15640.54
"D","01/01/2020","20",15189.9
"D","01/01/2020","21",14607.44
"D","01/01/2020","22",13776.92
"D","01/01/2020","23",12764.45
"D","01/01/2020","24",12083.09
"T","24 lines"
