"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20200201.csv"
"C","Report for: 02/01/2020 - 02/01/2020"
"C","Report generated: 08/02/2021 14:14:22 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","02/01/2020","01",11585.3
"D","02/01/2020","02",11529.3
"D","02/01/2020","03",11515.33
"D","02/01/2020","04",11589.0
"D","02/01/2020","05",11693.08
"D","02/01/2020","06",11689.68
"D","02/01/2020","07",12248.9
"D","02/01/2020","08",12794.76
"D","02/01/2020","09",13378.41
"D","02/01/2020","10",13821.12
"D","02/01/2020","11",14044.4
"D","02/01/2020","12",14100.92
"D","02/01/2020","13",14034.49
"D","02/01/2020","14",13923.17
"D","02/01/2020","15",13884.76
"D","02/01/2020","16",13998.83
"D","02/01/2020","17",14421.65
"D","02/01/2020","18",15013.62
"D","02/01/2020","19",14859.6
"D","02/01/2020","20",14412.25
"D","02/01/2020","21",13905.53
"D","02/01/2020","22",13282.25
"D","02/01/2020","23",12476.21
"D","02/01/2020","24",11845.95
"T","24 lines"
