"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20200301.csv"
"C","Report for: 03/01/2020 - 03/01/2020"
"C","Report generated: 08/02/2021 14:14:33 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","03/01/2020","01",13382.92
"D","03/01/2020","02",11920.3
"D","03/01/2020","03",12244.28
"D","03/01/2020","04",12213.46
"D","03/01/2020","05",12071.79
"D","03/01/2020","06",12226.15
"D","03/01/2020","07",12604.55
"D","03/01/2020","08",12924.16
"D","03/01/2020","09",12923.13
"D","03/01/2020","10",12834.39
"D","03/01/2020","11",12593.3
"D","03/01/2020","12",12452.91
"D","03/01/2020","13",12301.24
"D","03/01/2020","14",12055.64
"D","03/01/2020","15",12372.52
"D","03/01/2020","16",12859.76
"D","03/01/2020","17",13829.11
"D","03/01/2020","18",15003.72
"D","03/01/2020","19",15721.92
"D","03/01/2020","20",15511.37
"D","03/01/2020","21",15025.54
"D","03/01/2020","22",14201.23
"D","03/01/2020","23",13200.07
"D","03/01/2020","24",12374.37
"T","24 lines"
