"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20190101.csv"
"C","Report for: 01/01/2019 - 01/01/2019"
"C","Report generated: 08/02/2021 14:10:16 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","01/01/2019","01",11613.92
"D","01/01/2019","02",11496.66
"D","01/01/2019","03",11368.76
"D","01/01/2019","04",11270.26
"D","01/01/2019","05",11309.61
"D","01/01/2019","06",11516.12
"D","01/01/2019","07",11848.86
"D","01/01/2019","08",11538.77
"D","01/01/2019","09",11729.35
"D","01/01/2019","10",12187.15
"D","01/01/2019","11",12331.3
"D","01/01/2019","12",12149.33
"D","01/01/2019","13",12082.4
"D","01/01/2019","14",12153.63
"D","01/01/2019","15",12349.04
"D","01/01/2019","16",13037.34
"D","01/01/2019","17",14315.5
"D","01/01/2019","18",15392.02
"D","01/01/2019","19",15286.67
"D","01/01/2019","20",14862.13
"D","01/01/2019","21",14304.63
"D","01/01/2019","22",13502.97
"D","01/01/2019","23",12503.58
"D","01/01/2019","24",11894.04
"T","24 lines"
