"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20190901.csv"
"C","Report for: 09/01/2019 - 09/01/2019"
"C","Report generated: 08/02/2021 14:12:10 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","09/01/2019","01",10705.7
"D","09/01/2019","02",10637.17
"D","09/01/2019","03",10665.7
"D","09/01/2019","04",10965.56
"D","09/01/2019","05",11032.35
"D","09/01/2019","06",11128.18
"D","09/01/2019","07",11092.3
"D","09/01/2019","08",11101.39
"D","09/01/2019","09",11309.23
"D","09/01/2019","10",11340.54
"D","09/01/2019","11",11515.09
"D","09/01/2019","12",11354.52
"D","09/01/2019","13",11616.3
"D","09/01/2019","14",11877.8
"D","09/01/2019","15",12110.26
"D","09/01/2019","16",12456.39
"D","09/01/2019","17",12865.4
"D","09/01/2019","18",13316.69
"D","09/01/2019","19",13516.33
"D","09/01/2019","20",13584.12
"D","09/01/2019","21",13429.16
"D","09/01/2019","22",12786.78
"D","09/01/2019","23",11969.25
"D","09/01/2019","24",11115.6
"T","24 lines"
