"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20190501.csv"
"C","Report for: 05/01/2019 - 05/01/2019"
"C","Report generated: 08/02/2021 14:11:17 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","05/01/2019","01",10013.97
"D","05/01/2019","02",9685.16
"D","05/01/2019","03",9727.93
"D","05/01/2019","04",9720.29
"D","05/01/2019","05",10000.94
"D","05/01/2019","06",10683.5
"D","05/01/2019","07",12189.66
"D","05/01/2019","08",13079.74
"D","05/01/2019","09",13231.21
"D","05/01/2019","10",13269.1
"D","05/01/2019","11",13081.26
"D","05/01/2019","12",12892.91
"D","05/01/2019","13",12640.09
"D","05/01/2019","14",12515.0
"D","05/01/2019","15",12489.23
"D","05/01/2019","16",12606.7
"D","05/01/2019","17",12948.9
"D","05/01/2019","18",13316.75
"D","05/01/2019","19",13556.66
"D","05/01/2019","20",13749.12
"D","05/01/2019","21",13678.67
"D","05/01/2019","22",12818.85
"D","05/01/2019","23",11604.29
"D","05/01/2019","24",10589.95
"T","24 lines"
