"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20190701.csv"
"C","Report for: 07/01/2019 - 07/01/2019"
"C","Report generated: 08/02/2021 14:11:44 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","07/01/2019","01",11479.33
"D","07/01/2019","02",11403.51
"D","07/01/2019","03",11427.26
"D","07/01/2019","04",11562.31
"D","07/01/2019","05",11633.8
"D","07/01/2019","06",11770.13
"D","07/01/2019","07",12642.45
"D","07/01/2019","08",13306.47
"D","07/01/2019","09",13822.26
"D","07/01/2019","10",14032.62
"D","07/01/2019","11",14213.16
"D","07/01/2019","12",14666.4
"D","07/01/2019","13",15120.82
"D","07/01/2019","14",15661.46
"D","07/01/2019","15",16215.05
"D","07/01/2019","16",16800.68
"D","07/01/2019","17",17381.08
"D","07/01/2019","18",18027.61
"D","07/01/2019","19",18272.15
"D","07/01/2019","20",17917.53
"D","07/01/2019","21",17399.97
"D","07/01/2019","22",16700.18
"D","07/01/2019","23",15189.99
"D","07/01/2019","24",13622.58
"T","24 lines"
