"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20190601.csv"
"C","Report for: 06/01/2019 - 06/01/2019"
"C","Report generated: 08/02/2021 14:11:32 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","06/01/2019","01",10003.97
"D","06/01/2019","02",9456.86
"D","06/01/2019","03",9505.86
"D","06/01/2019","04",9518.46
"D","06/01/2019","05",9528.55
"D","06/01/2019","06",9547.94
"D","06/01/2019","07",10025.82
"D","06/01/2019","08",10412.19
"D","06/01/2019","09",10958.77
"D","06/01/2019","10",10999.17
"D","06/01/2019","11",10849.62
"D","06/01/2019","12",10863.0
"D","06/01/2019","13",10889.44
"D","06/01/2019","14",11002.37
"D","06/01/2019","15",11263.11
"D","06/01/2019","16",11571.36
"D","06/01/2019","17",11965.59
"D","06/01/2019","18",12325.81
"D","06/01/2019","19",12536.86
"D","06/01/2019","20",12568.72
"D","06/01/2019","21",12682.26
"D","06/01/2019","22",12307.19
"D","06/01/2019","23",11450.33
"D","06/01/2019","24",10508.14
"T","24 lines"
