"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20191001.csv"
"C","Report for: 10/01/2019 - 10/01/2019"
"C","Report generated: 08/02/2021 14:12:21 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","10/01/2019","01",9766.48
"D","10/01/2019","02",9656.88
"D","10/01/2019","03",9469.33
"D","10/01/2019","04",9437.29
"D","10/01/2019","05",9705.64
"D","10/01/2019","06",10621.31
"D","10/01/2019","07",11946.48
"D","10/01/2019","08",13015.4
"D","10/01/2019","09",13454.38
"D","10/01/2019","10",13619.71
"D","10/01/2019","11",13697.52
"D","10/01/2019","12",13777.05
"D","10/01/2019","13",13615.51
"D","10/01/2019","14",13591.24
"D","10/01/2019","15",13606.75
"D","10/01/2019","16",13799.37
"D","10/01/2019","17",14140.43
"D","10/01/2019","18",14666.83
"D","10/01/2019","19",15053.37
"D","10/01/2019","20",15152.84
"D","10/01/2019","21",14574.5
"D","10/01/2019","22",13609.23
"D","10/01/2019","23",12644.46
"D","10/01/2019","24",11797.58
"T","24 lines"
