"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20190401.csv"
"C","Report for: 04/01/2019 - 04/01/2019"
"C","Report generated: 08/02/2021 14:11:03 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","04/01/2019","01",10545.24
"D","04/01/2019","02",10584.45
"D","04/01/2019","03",10636.43
"D","04/01/2019","04",10616.08
"D","04/01/2019","05",10682.68
"D","04/01/2019","06",11872.23
"D","04/01/2019","07",13214.76
"D","04/01/2019","08",13948.15
"D","04/01/2019","09",13426.83
"D","04/01/2019","10",12726.96
"D","04/01/2019","11",12233.74
"D","04/01/2019","12",11926.2
"D","04/01/2019","13",11650.16
"D","04/01/2019","14",11572.51
"D","04/01/2019","15",11564.53
"D","04/01/2019","16",11637.5
"D","04/01/2019","17",12251.56
"D","04/01/2019","18",13107.7
"D","04/01/2019","19",13991.27
"D","04/01/2019","20",14687.92
"D","04/01/2019","21",14587.7
"D","04/01/2019","22",13838.24
"D","04/01/2019","23",12699.58
"D","04/01/2019","24",11695.37
"T","24 lines"
