"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20190801.csv"
"C","Report for: 08/01/2019 - 08/01/2019"
"C","Report generated: 08/02/2021 14:11:59 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","08/01/2019","01",14754.28
"D","08/01/2019","02",14582.54
"D","08/01/2019","03",14145.16
"D","08/01/2019","04",13782.52
"D","08/01/2019","05",13842.76
"D","08/01/2019","06",14381.53
"D","08/01/2019","07",15120.63
"D","08/01/2019","08",15888.55
"D","08/01/2019","09",16440.41
"D","08/01/2019","10",16764.88
"D","08/01/2019","11",17205.22
"D","08/01/2019","12",17527.6
"D","08/01/2019","13",17975.8
"D","08/01/2019","14",18583.25
"D","08/01/2019","15",19105.42
"D","08/01/2019","16",19533.96
"D","08/01/2019","17",20076.98
"D","08/01/2019","18",20475.98
"D","08/01/2019","19",20326.47
"D","08/01/2019","20",19545.62
"D","08/01/2019","21",18876.66
"D","08/01/2019","22",17781.07
"D","08/01/2019","23",16100.78
"D","08/01/2019","24",14602.77
"T","24 lines"
