"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20191101.csv"
"C","Report for: 11/01/2019 - 11/01/2019"
"C","Report generated: 08/02/2021 14:12:34 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","11/01/2019","01",10227.49
"D","11/01/2019","02",10058.78
"D","11/01/2019","03",10159.13
"D","11/01/2019","04",10383.47
"D","11/01/2019","05",10295.55
"D","11/01/2019","06",10648.39
"D","11/01/2019","07",11288.38
"D","11/01/2019","08",12212.13
"D","11/01/2019","09",12243.72
"D","11/01/2019","10",11799.36
"D","11/01/2019","11",11424.66
"D","11/01/2019","12",11113.95
"D","11/01/2019","13",10946.44
"D","11/01/2019","14",10969.33
"D","11/01/2019","15",11292.95
"D","11/01/2019","16",11486.18
"D","11/01/2019","17",12237.84
"D","11/01/2019","18",13103.84
"D","11/01/2019","19",13692.71
"D","11/01/2019","20",13423.02
"D","11/01/2019","21",12953.38
"D","11/01/2019","22",12316.17
"D","11/01/2019","23",11479.87
"D","11/01/2019","24",10777.41
"T","24 lines"
