"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20190301.csv"
"C","Report for: 03/01/2019 - 03/01/2019"
"C","Report generated: 08/02/2021 14:10:52 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","03/01/2019","01",13303.58
"D","03/01/2019","02",12968.96
"D","03/01/2019","03",12826.45
"D","03/01/2019","04",12907.79
"D","03/01/2019","05",13416.4
"D","03/01/2019","06",14143.27
"D","03/01/2019","07",15471.14
"D","03/01/2019","08",16323.14
"D","03/01/2019","09",16203.39
"D","03/01/2019","10",15520.87
"D","03/01/2019","11",15070.85
"D","03/01/2019","12",14544.33
"D","03/01/2019","13",14565.96
"D","03/01/2019","14",14344.93
"D","03/01/2019","15",14703.37
"D","03/01/2019","16",15178.35
"D","03/01/2019","17",15401.1
"D","03/01/2019","18",15717.36
"D","03/01/2019","19",16146.83
"D","03/01/2019","20",15811.35
"D","03/01/2019","21",15338.77
"D","03/01/2019","22",14662.43
"D","03/01/2019","23",13912.01
"D","03/01/2019","24",13094.24
"T","24 lines"
